SiteID,lon,lat,Gtable,Gtable_std,Gtable_closure,Gtable_closure_std,Gtable_CV,years_1,years_2,years_3,years_4,years_5,years_6,years_7,years_8,years_9,years_10,years_11,years_12,years_13,years_14,years_15,years_16,years_17,years_18,years_19,years_20,years_21,years_22,years_23,years_24,years_25,years_26,Gseas_amp
CH-Cha,8.410444444,47.21022222,-0.869060959329363,0.825239747428828,-9.88891191892574,2.50477717393065,-0.949576365811726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616569615213176,-0.87288059786998,-1.15168326726453,0,-1.91231538060285,-1.04077643645696,-0.85327968899503,0,0,0,6.53776206784719
CH-Dav,9.855916667,46.81533333,-0.0400124472146308,0.228844087677807,-8.50330891011179,22.5738862518036,-5.7193224510929,0,0,0,0,0,0,0,0,0,0.402620401177098,0.1629274065016,-0.120794676967224,0.0996328810243855,0.0518041550792584,-0.0850849220008418,-0.386927739270992,-0.0576136616402867,-0.199319172500391,-0.267369143548913,2.30793398575,2.12228415881659,0,0,0,0,0,5.66682769014659
CH-Fru,8.537777778,47.11583333,-1.19653178385658,0.533890464210036,-11.1292188080686,3.96327830721607,-0.446198313670564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.521665768135114,-0.585146360525291,-0.88644219245621,-1.31920736812974,-1.66125905044394,-1.85073978060016,-1.55126196670559,0,0,0,6.34518988261383
CN-Du3,116.281,42.0551,-0.820454434808019,0.628585634578537,-12.4528459257371,3.40289071111735,-0.766143259041097,0,0,0,0,0,0,0,0,0,0,0,0,-0.375977270041086,0,-1.26493159957495,0,0,0,0,0,0,0,0,0,0,0,6.73386592858392
CZ-wet,121.9717,31.5169,-0.0864900534609599,0.0292791106168466,10.8210930817909,0,-0.338525754641401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107193511125243,-0.0657865957966766,5.67644533069581,0,5.7278877063036
DE-Geb,10.9143,51.1001,1.36075756025026,0.820941275202502,-0.269862269577248,4.3882422462246,0.603297236174473,0,0,0,0,0,0,0,0,0,0,0,0.20976454866594,2.15681851838518,2.82922871485633,0.968181890478905,0.302944025005171,1.87144775048612,1.18820943425847,0.937560964085609,1.77026625319321,0.454773950866189,2.05379580323408,2.3454589058612,1.27844931762488,0.683705766502389,0,6.72410896580595
DE-Gri,121.9717,31.5169,-0.788829386055668,0.830776265670636,4.06050756004219,4.67502512249558,-1.05317611178852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311234358543075,-1.05688780094056,-0.109992197845997,-1.42983121844437,-1.60219800514982,-1.51291685943657,-1.49401165431454,-1.05447596115078,-1.09386051119393,-0.528737549203149,0.894554152524292,0,6.38373486830162
DE-Hai,121.9717,31.5169,-0.08227055313792,0.171296065478993,4.11944767259882,12.8517242331664,-2.08210664624837,0,0,0,0,0,0,0,0,0,0,-0.104452858271921,-0.292960701470052,-0.042216977088363,0.283736635575278,0,-0.0830984075498358,0.0513350237438269,-0.464858258884853,-0.302249820402299,-0.131668121615002,-0.451629519786534,-0.0160618504179616,-0.185068453882871,0,0,0,6.07372565611506
DE-Kli,121.9717,31.5169,-0.225320201901029,0.32420672071646,-2.32932709949529,7.85848558633614,-1.43887107317109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.52096926342326,0,0,0,-0.76138996325023,0.100786648543948,-0.207935794776112,-0.0662692322977594,0,-0.191792667724991,0,6.93798428172897
DE-Lkb,13.30466667,49.09961667,0.488421400996897,0.387524886815004,-16.8807127632257,1.28036602381392,0.793423232528394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935855117183355,0.26998091624754,0.259428169559794,0,0,0,6.13384587305606
DE-Lnf,10.3678,51.3282167,-0.0103488276120346,0.12920886500057,-4.48049143574092,2.34009002722158,-12.4853625786862,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135938595865007,-0.369767488794697,0.0335529318247951,0.175114324650111,0,0,0,-0.394928824778119,0.00594845148179498,-0.130421250151867,0,0,0,5.99238051252603
DE-Obe,13.7196306,50.7836167,-0.263245245550527,0.125386983059563,-5.74340407755028,5.04183972773655,-0.476312431768105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.299485124855675,-0.106798577063723,-0.372617007273645,-0.106615444444408,-0.25494391824516,-0.442044836081847,-0.26021181088923,0,5.49309782941885
DE-RuR,6.3041256,50.6219142,-0.683143898610717,0.112709770076961,-5.45760542430426,1.74471694089833,-0.164986864855523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.762841741338113,-0.60344605588332,0,5.81459344848959
